task,optimizer,method,n,best_val_mean,best_val_std,final_val_mean,final_val_std,drop_val_mean,drop_val_std,peak_epoch_mean,peak_epoch_std
sym20,AdamW,Fixed 2.0,5,0.56068,0.0035618815252616153,0.51642,0.011046130544222262,0.04426000000000001,0.007867528201411154,15.6,1.6733200530681511
sym20,AdamW,AEES,5,0.62192,0.009042787180952574,0.556,0.005781868210189528,0.06592,0.007173004949113031,18.4,3.847076812334269
sym20,AdamW,Cosine,5,0.58618,0.004304300175405992,0.58038,0.006956076480315623,0.005800000000000005,0.0046421977553740435,51.8,79.50597461826375
sym20,AdamW,Cosine + AEES,5,0.62014,0.009378326076651431,0.58366,0.005433967243184306,0.03647999999999998,0.008098580122465908,19.2,2.16794833886788
sym20,SGD,Baseline,5,0.57044,0.007136735948597194,0.48644,0.01606916301491773,0.08399999999999999,0.015331014317389436,19.0,1.5811388300841898
sym20,SGD,Fixed 0.5,5,0.57446,0.006488297157190012,0.50614,0.01112667964848454,0.06832000000000003,0.008986768050862333,20.0,1.5811388300841898
sym20,SGD,Fixed 1.0,5,0.57044,0.007136735948597194,0.48644,0.01606916301491773,0.08399999999999999,0.015331014317389436,19.0,1.5811388300841898
sym20,SGD,Fixed 2.0,5,0.5518,0.007831985699680515,0.46012000000000003,0.01117908761930059,0.09167999999999997,0.007815497424988346,25.6,1.949358868961793
sym20,SGD,AEES,5,0.6248400000000001,0.004976745924798654,0.5642,0.006974238309665064,0.06064000000000003,0.009956304535318324,24.4,3.286335345030997
sym20,SGD,Cosine,5,0.62222,0.004054257021946197,0.62042,0.00439852247919682,0.0017999999999999794,0.0009433981132056094,171.4,15.076471735787521
sym20,SGD,Cosine + AEES,5,0.6307,0.00744311762637137,0.61434,0.0027736257858622547,0.01636000000000002,0.006060775527933718,26.2,2.7748873851023217
sym40,AdamW,Baseline,5,0.51676,0.006208703568378831,0.38064,0.0012300406497347868,0.13612,0.0064001562480927076,15.8,1.4832396974191326
sym40,AdamW,Fixed 0.5,5,0.52484,0.007373465942146855,0.39014,0.004573620010451246,0.13470000000000001,0.00818687974749841,17.4,1.140175425099138
sym40,AdamW,Fixed 1.0,5,0.51676,0.006208703568378831,0.38064,0.0012300406497347868,0.13612,0.0064001562480927076,15.8,1.4832396974191326
sym40,AdamW,Fixed 2.0,5,0.48844,0.010277305094235552,0.35654,0.00566815666685387,0.13190000000000002,0.005863019699779297,15.8,1.3038404810405297
sym40,AdamW,AEES,5,0.55018,0.011197633678594767,0.39912000000000003,0.011963778667294053,0.15106,0.017040921336594426,18.0,1.5811388300841898
sym40,AdamW,Cosine,5,0.51718,0.0077328519965146015,0.42224,0.004958124645468269,0.09494000000000002,0.01092327789630932,16.0,0.7071067811865476
sym40,AdamW,Cosine + AEES,5,0.5472400000000001,0.007772580009237612,0.42522,0.013709376353430523,0.12202000000000002,0.011236191525601557,18.6,1.51657508881031
sym40,SGD,Baseline,5,0.50074,0.008139594584498656,0.33788,0.012252224287858922,0.16286,0.010947511132673001,20.4,1.51657508881031
sym40,SGD,Fixed 0.5,5,0.5084799999999999,0.007332257496842287,0.34896,0.0033403592621153695,0.15952,0.007353706548401275,20.0,1.4142135623730951
sym40,SGD,Fixed 1.0,5,0.50074,0.008139594584498656,0.33788,0.012252224287858922,0.16286,0.010947511132673001,20.4,1.51657508881031
sym40,SGD,Fixed 2.0,5,0.47296,0.012771178489082371,0.31732,0.011958553424223178,0.15564,0.0074898598117722,26.0,1.8708286933869707
sym40,SGD,AEES,5,0.55628,0.009857839519894818,0.39668000000000003,0.038377688830881926,0.15960000000000002,0.040185009642900435,25.0,2.5495097567963922
sym40,SGD,Cosine,5,0.5011,0.01113552872566004,0.46865999999999997,0.007713170554318118,0.032440000000000024,0.009714576676314817,18.6,1.51657508881031
sym40,SGD,Cosine + AEES,5,0.55996,0.008908030085265773,0.4629,0.006024948132556832,0.09706000000000001,0.00474478661269399,25.6,1.949358868961793
